rating,content,date
1,Inutilisable: La Poste complice de l’obsolescence programmée...,2021-04-20 06:41:46
2,"Neustes Update rückgängig machen!: Alte Version war besser. Auftragssumme fehlt, Übersicht auf der Hauptseite fehlt. Leider eine „Verschlimmbesserung“",2021-03-08 17:28:02
1,"Desinstallee immediatement: Merci de remettre a disposition l’ancienne version, plus sure avec simple consultation du compte principale et virements limités avec cap mensuel.",2021-04-03 10:12:57
1,"Was soll das!!??: Das Update ist eine absolute Katastrophe!!! Und was ist mit dem Schnellservice? Ich will die alte Oberfläche zurück!!!!!

Reaktion auf Antwort:
Wichtigste Funktionen des SchnellService in App integriert... Was ist das für eine Antwort!? Da ich mich nun immer komplett einloggen muss ist das für mich kein SchnellService mehr!!!! Und die wichtigsten Funktionen für wen!? ...nicht für mich!
Zudem ist die neue App alles andere als intuitiv und übersichtlich! Relevante Informationen wurden entfernt, dafür werden nun irrelevante Informationen in übergrosser Schrift dargestellt! Wie gesagt, Katastrophe!
99,9% der Rezessionen seit eurem Update sagen doch schon alles! Wenn ihr so kundenorientiert seid wie Ihr immer sagt, macht das Update rückgängig!",2021-03-15 01:40:25
1,"Downgrade: Merci d’avoir fait de quelque chose de fonctionnel, une application inutilisable ou la moitié des données ont disparu !",2021-03-06 17:48:38
1,"Verschlimmbessert: Vorher war es möglich via Schnellservice den Kontostand abzurufen und die meisten Transaktionen zu limitieren. Also quasi eine Viewer funktion. 
Für E-Finance konnte weiter der Kartenleser als MFA benutzt werden. 

Jetzt gibts nur noch alles oder nichts. 

Eine feature-sperre in den Optionen wäre wünschenswert.",2021-03-03 23:23:58
1,Neues Design geht garnicht!: Das Neue Design ist total unübersichtlich!,2021-03-03 21:04:30
1,"Absolute Katastrophe!: Bin seit mehreren Jahren Kunde mit verschiedenen Firmen bei der Postfinance aber es scheint als ob sie mit der digitalen Welt überfordert sind. Die App stürzt permanent ab, schnell service kann nicht mehr registriert werden, der technische Support gibt Angaben, welche sich als nicht korrekt erweisen, die Kreditkarten (3d secure) funktioniert teilweise nicht und und und. Wenn man die anderen Bewertungen hier liest, zeigt es klar, dass hier keine Profis am Werk sind. So viele Fehler in einer Produktiven App darf ein Finanzdienstleister einfach nicht haben! Schliesslich geht es hier um sensible Daten und solche gravierende Mängel hätten in der Qualtitätskontrolle auffallen müssen. Da bleibt nicht viel anderes übrig als den Anbieter zu wechseln.",2020-11-28 11:57:24
1,"An die Entwickler: Bitte hört doch auf zu schreiben, dass es Gewöhnung von Kundenseite benötigt…

Ihr habt es einfach nicht verstanden! Ihr müsst für den Kunden einen Mehrwert bringen und nicht der Kunde muss sich Euch orientieren.

Wenn man mit dieser Philosophie entwickelt hat man schon verloren…Hausaufgaben nicht gemacht!

Die neue App wurde am Kunden “vorbeientwickelt” - nehmt Eure Augenbinden ab!",2021-05-21 16:02:31
1,"Ciao PostFinance: Absolut unbrauchbar, stümperhaft  und Anti-Kundenfreundlich. Das war wohl die Super-Software aus Indien?! Habe heute meine 2 Konti gekündigt nach 20 Jahren als treuer Kunde! Und weil hier wirklich gar nix mehr besser oder gar gut wird. Wer noch bei PostFinance bleibt ist ja selber schuld, stimmt’s?",2021-05-11 21:27:23
2,"Grafik ist wichtiger als Funktionen?: Soll ich alle meine Kontonummern auswendig lernen? Bitte bei allen Auswahlverfahren nicht nur die Nummer sondern auch die Konto-BEZEICHNUNG (zB WebShopBezahlung)! Und wenn ihr weniger schlechte Bewertungen wollt, richtet eine Möglichkeit für direktes Feedback ein. Gibt etwas mehr Arbeit, dafür Zufriedenheit der Kunden. Sonst kann ich ja nur so motzen!!!!",2021-03-15 10:50:37
1,"Alte Version ist besser: Kein Schnellservice verfügbar. Passwort zwingend nötig für ganze Handy, da die App nur noch mit FaceID entsperrt werden kann und nicht mehr mit separatem Passwort für die eine App.",2021-03-08 10:13:42
1,"Application incompatible: Une application qui n’est plus compatible pour pour les Smartphone un peu trop anciens 😤😡😡😡
Merci PostFinance ça donne vraiment envie de travailler avec vous 🙄",2021-04-27 06:58:45
2,"Impossible d’ouvrir l’App: Depuis 2 jours, je constate qu’il m’est impossible d’ouvrir l’application sur mon téléphone (IPhone 11).  A chacune de mes tentatives d’ouverture de l’app, le message qui apparaît est le suivant “ version obsolete du système d’exploitation”. Après plusieurs desinstallations et installations de la version disponible sur AppStore, c’est le statut quo",2022-09-08 00:33:35
1,Schrott: Läuft nicht mehr auf älterem Betriebssystem,2022-09-15 20:57:35
1,"Müll: Wieder einmal läuft die App nicht. Nach Installation ist einloggen nicht möglich. Keine Codeeingabe, keine TouchID, Support nicht erreichbar. Einfach ärgerlich.",2022-09-12 13:41:48
2,"Neues Update vom 1. Juni 22 läuft nicht!: Wenn von so einem BIG-Player im Schweizer Finanzmarkt ein Update installiere, werwarte ich, dass es sich wenigstens aufstarten lässt, damit ich meine Transktionen erledigen kann. Sowas geht gar nicht, sorry Leute!",2022-06-02 08:08:06
1,"Hände weg, kein Support vorhanden: Totale Inkompetenz und weigerung, sich um einen gemeldeten Bug eines Vertragspartners der Postfinance zu kümmern. Alle Kunden sind betroffen, aber man unternimmt nichts. Sie weigern sich, das Problem zu behandeln. Sie weigern sich am Problem dran zu bleiben und es zu lösen. Sie weigern sich, den Support für Six/ebill zu leisten, obwohl dies laut SIX zu Ihren Aufgaben gehört. Sie weigern sich, mich zu informieren, wann ich wieder auf den Dienst vertrauen kann und ihn benutzen kann. Seit zwei Jahren! Wenn jemand eine eBill Dauerfreigabe einrichtet, und da einen Monatstag festlegt, wann die Zahlung erfolgen soll, kann es passieren, dass die Rechnung ausserhalb der Zahlungsfrist bezahlt wird, weil eBill vom Monat der Zahlungsfrist den Monatstag wählt, statt einen innerhalb der Zahlungsfrist. Nochmal erklärt: Die Rechnung kommt am 24.1.2022 mit Zahlungsfrist 20 Tage, sagen wir mal das wäre der 14.2.2022. Ende der Zahlungsfrist ist also im darauf folgenden Monat. Für diese Zahlung wird von einem ihrer Kunden eine Dauerfreigabe für den 26. des Monats erstellt. Die Rechnung wird mit eBill jetzt aber nicht am nächsten 26. beglichen, also nicht am 26.1.2022, sondern erst nach der Zahlungsfrist am 26.2.2022. Einen vollen Monat zu spät. Dies führt bei Postfinance-Kunden regelmässig zu Mahnungen. Ich möchte Sie hiermit informieren, dass ihre Weigerungshaltung das Problem bisher nicht gelöst hat. Ich fordere Sie auf, sich endlich und am besten umgehend darum zu kümmern. Es ist ihr Job, nicht meiner. War dies für Sie verständlich?",2022-07-28 07:48:13
1,Login defekt: Seit dem neuesten Update funktioniert der Face ID Login nicht mehr und es erscheinen zum Teil kryptische Benachrichtigungen von der App. Wie wäre es mit initialem Testing bevor Release?,2022-06-09 09:09:45
1,Neue App = Schrott: App Version 5.5.0 Keine Funktion. Login wird irgendwie ausgeführt aber die App fällt dann voll auf die Fritte und zeigt an dass ein Fehler aufgetreten sei.,2022-06-02 08:07:25
1,"Immer schlechter: Wartungsarbeiten und dafür funktioniert die App Samstag/Sonntag nicht und man kann nicht mal sein Kontostand usw abrufen, sowas geht gar nicht.",2022-05-15 08:03:47
3,Login: Die neue App sieht freundlich aus leider kann ich mich mit dem Handy nicht mehr anmelden und das nur weil ich ein neues Handy habe. Ändern kann ich es nur wenn ich euch anrufe und der Anruf kostet. Das verstehe ich nicht wirklich 😏😒,2022-04-04 16:05:31
5,Die beste E-Banking App in der Schweiz.: Ich liebe das Benutzeroberfläche und Design.,2022-04-28 11:08:12
5,"Endlich mal aufgeräumt: Alle Funktionen des täglichen Banking-Alltags sind seit dem Update einfach mega easy zu erreichen. Die App war vorher einfach altbacken und teilweise so in der Banking Sprache, dass die einfachsten Sachen schwer zu erreichen waren oder man sich „merken“ musste wie es geht. 
Jetzt ist es einfach perfekt, danke!!",2021-09-26 07:39:44
2,Berechtigungen: Wieso zum Teufel will die App zwingend Push Meldungen senden lönnen. Nein das bekommt sie nicht und braucht es auch nicht.,2021-12-28 16:20:23
1,"Wie ist es nur möglich, dass eine so schlechte App 3.5 Sterne erhält?!?: Funktionalität massiv eingeschränkt gegenüber früher, Bedienung ist viel umständlicher geworden und der App Support hat nicht den Mut die Fehler einzugestehen und kommentiert Meldungen praktisch immer mit sinnfreien Standardantworten. @PostFinance: Falls Sie diesen Kommentar ebenfalls lesen, dann wechseln Sie BITTE umgehend den App Entwickler. So wird nie etwas gescheites herauskommen. Die App ist schliesslich nun bereits seit vielen Monaten (mehr als ein Jahr?) in diesem grottenschlechtem Zustand! Einmal mehr muss ich Ihre Webseite bemühen um Standardaufgaben zu erledigen. Auch in meinem Umfeld geht es Benutzern so. So können Sie sich die App auch gleich sparen.",2021-12-24 22:17:23
1,"Katastrophe: Immer wieder Sa/So nicht benutzbar, Wartungen etc.
Schon telefonisch mehrmals gemeldet dass der Zins nicht stimmt in der 3. Säule (10%!).
Irgendwie kümmerts keinen oder sie schaffen es einfach nicht, egal, beides inakzetabel.",2021-11-07 07:11:02
1,"Finger weg: Die App ist leider nur noch ein Ärger. Funktionen fehlen und mit viel Glück kann Frau oder Mann sich einloggen. Mit noch mehr Glück funktioniert sogar der Scanner. Die Hotline ist noch schlechter als bei UPC und das verdient doch was. 
Meine Empfehlung: Finanzinstitut wechsel",2021-11-06 10:12:06
2,"Form follows function?: Der Design-Grundsatz „form follows function“ wurde sträflich ignoriert. Sieht zwar hübsch und trendy aus, aber UX wurde wahrscheinlich nicht mit richtigen User Tests überprüft. Kein Wunder schneidet die PostFinance App sehr schlecht ab im Verhältnis zu anderen Banken. Schade - insb. da sie sonst eigentlich gut entwickelt wäre.",2021-07-27 11:03:24
1,"Katastrophal!: Ich war nie Fan der Post aber habe trotzdem mein Konto bei Ihnen gehabt.
Mit der Umstellung der App ist alles 1000x schlimmer gemacht worden, man kann nichts mehr machen!! Unübersichtlich, Nicht-Bediener freundlich und viele Funktionen entfernt?!?
Wenn ihr schon eine Umstellung plant dann macht diese doch zuerst vollständig bevor ihr die komplette App überarbeitet und danach daran arbeitet?!?
Komplett auf den Kopf gefallen seid ihr🤦🏻‍♂️🤦🏻‍♂️
Am liebsten würde ich 0 Sterne geben, nicht mal den einen Stern habt ihr verdient.
Und wenn jetzt so ein Vollpfosten antwortet, dass es Zeit braucht um sich daran zu gewöhnen, dann gehe ich noch Heute die Bank wechseln.
😡😡😡😡",2021-08-25 10:10:02
1,Alle Reklamationen: Endet nix warum auch Kunden Bleiben,2021-07-30 17:07:17
2,"Logout-Suche: Ich habe die alte App wirklich gerne benutzt, weil ich dort Zahlungen unkompliziert vorbereiten und mir schnell einen Überblick über meine Finanzen verschaffen konnte ohne mein kompliziertes, sicheres Passwort auf der mühsamen Handytastatur eintippen zu müssen. 
Jetzt fahre ich lieber den PC und gehe über den Browser. 

Und wer ist bitte auf die Idee gekommen den Logout unter Einstellungen einzuordnen?!",2021-07-12 12:39:03
2,"Gewisse Alltagsfunktionen fehlen: Die neue App ist grundsätzlich nicht schlecht. Das Login ist bequem, die App reagiert schnell und eBill ist endlich wieder möglich. Es gibt jedoch diverse Punkte, die mich ziemlich stören und die die Alltagstauglichkeit einschränken:

1. Im Gegensatz zur alten App sieht man den Zielbetrag bei den pendenten Aufträgen nicht. Man muss den Betrag nun immer manuell ausrechnen. Das nervt gewaltig.

2.  Die Vorlagen sind weg. Dass bisherige Empfänger aufgelistet bzw. gesucht werden können, ist in keiner Weise ein Ersatz. Bei einigen Kontakten hat die IBAN geändert. Bei einer Suche werden mir jetzt immer alt und neu angezeigt und ich habe keine Möglichkeit die alte IBAN aus der Suche zu entfernen. Ich habe nicht vor, jetzt IBANs auswendig zu lernen. Eher wechsle ich die Bank.

3. Bei den Kontenbewegungen steht immer nur ESR, Giro oder Übertrag, aber nicht der Empfänger. Es kann doch nicht sein, dass ich jedes Mal ins Detail gehen muss, damit ich sehe, wer der Empfänger ist. Das kann jedes Fintech besser.

Daher drei ⭐️ Abzug.",2021-06-25 22:03:58
1,"Absolut unbrauchbares neues app: Nach Zahlungseingabe kein neuer Saldo - muss man jetzt selbst ausrechnen - als ob der Kunde heute nicht schon alles andere selbst machen müsste. Am Wochenende funktionieren Zahlungen oft nicht - sehr gut für Postfinance, da sie ja dann auch telefonisch nicht erreichbar sind. Bin echt frustriert mit der neuen App - wie ein Kunde bereits vor mir sagte; die beste Verschlimmbesserung je! Unübersichtlich und definitiv nicht Nutzerfreundlich gestaltet.",2021-07-12 06:38:57
1,Komplett besch*: Absolute katastrophe. Wieso unterstützen sie kein iPhone 6 mehr? Ich kan. nichts mehr machen!!!,2021-07-09 20:17:20
1,"Fehlen der Postfinance die Requirement Engineers?!: Schlimm was da gemacht wurde.
Offensichtlich hat Postfinance das ganze ein paar Kindergärtnern zur Entwicklung gegeben. Die wichtigsten Use Cases wurden nämlich nicht ansatzweise ausgearbeitet. 
Es fehlen die Zahlungsvorlagen und in der Historie die Referenznummer der Transaktion. 

Schade geht hier bei der Bewertung nicht auch „null“ Sterne. 

Zurück in die Entwicklung aber subito!!!",2021-07-07 21:36:32
1,"Poor limited functionality: The previous app was good - you could do and see everything needed. The ‘upgrade’ with the new ‘features’ is very limited - seems the UX design manager prefers logging into websites and thinks we should all do the same. This is now only a simple payment and display transactions app, nothing more. Bad decision that I’m sure has lost a lot of customers, myself included.",2021-07-04 18:14:12
1,"Schlechter geworden: Vorlagenfunktion fehlt völlig.
Schade die vorige App war dann doch besser.",2021-06-25 20:48:18
1,"Dokumente finden und drucken?: Man findet die Dokumente nicht und man kann die Dokumente nicht speichern und drucken. Man muss einen PC finden, das ist das Gegenteil vom Trend.",2021-06-24 19:51:15
1,"Bitte nicht aussitzen: Die Feedbacks sind doch klar. Es braucht grössere Anpassungen im Benutzerinterface. Dies einfach auf die Umgewöhnungszeit der Kunden zu schieben, ist nicht Kunden- und Dienstleistungsorientiert. Wann dürfen die Kunden mit einem besseren GUI rechnen? Und jetzt bitte nicht eure Standardantwort dass sich die Kunden ändern sollen.",2021-06-24 06:04:01
1,"Übel!: Welch eine grottenschlechte App. Kaum zu glauben, doch so ist es: Ich eröffne hier kein Konto. Wenn ein solch wichtiges Instrument schon am Start so viele Fehler und Unzulänglichkeiten zeigt, wie gut kann dann die Bank dahinter sein...",2021-06-23 11:00:58
3,"Alle App Besser: Von der Bedienung war die alte App besser. Früher konnte man wirklich alles über der App machen wie am PC, heute nicht mehr. Sehr minimalistisch! Eigentlich ist die tendenz eher dazu alles mit Handy zu machen, hier muss jedoch auf PC zurück gegriffen werden, das ist eher ein Rückschritt.",2021-06-05 08:08:56
1,"Adieu PostFinance - Aktuell nur noch Verschlimm(bess)erungen, nicht nur bei der App…😤: Unbrauchbare App, Guthabengebühren etc.
Leider setzt PostFinance aktuell wirklich jeden Hebel in Bewegung, um auch langjährige, treue Kunden dauerhaft zu vergraulen! Auf dem Weg dazu wird aber auch gar kein „Fauxpass“ ausgelassen. Schade eigentlich…",2021-06-21 19:46:47
